item	map	area
Speartuna	Deserted Island (High Rank)	10
Silverfish	Deserted Island (High Rank)	10
Red Coral Stone	Deserted Island (High Rank)	11
Broken Shell	Deserted Island (High Rank)	11
Jumbo Pearl	Deserted Island (High Rank)	11
Stone	Deserted Island (High Rank)	11
Black Pearl	Deserted Island (High Rank)	11
Bone	Deserted Island (High Rank)	12
Mystery Bone	Deserted Island (High Rank)	12
Earth Crystal	Deserted Island (High Rank)	12
Machalite Ore	Deserted Island (High Rank)	12
Bloodrun Jewel	Deserted Island (High Rank)	12
Dragonite Ore	Deserted Island (High Rank)	12
Carbalite Ore	Deserted Island (High Rank)	12
Pin Tuna	Deserted Island (G Rank)	0
Whetfish	Deserted Island (G Rank)	0
Glutton Tuna	Deserted Island (G Rank)	0
Popfish	Deserted Island (G Rank)	0
Small Goldenfish	Deserted Island (G Rank)	0
Herb	Deserted Island (G Rank)	1
Felvine	Deserted Island (G Rank)	1
Insect Husk	Deserted Island (G Rank)	1
Airweed	Deserted Island (G Rank)	1
Spider Web	Deserted Island (G Rank)	1
Ivy	Deserted Island (G Rank)	1
Sap Plant	Deserted Island (G Rank)	1
Might Seed	Deserted Island (G Rank)	1
Eltalite Ore	Deserted Island (G Rank)	1
Carbalite Ore	Deserted Island (G Rank)	1
Bloodrun Jewel	Deserted Island (G Rank)	1
Dragonite Ore	Deserted Island (G Rank)	1
Iron Ore	Deserted Island (G Rank)	1
Adamant Orb	Deserted Island (G Rank)	1
Earth Crystal	Deserted Island (G Rank)	1
Whetstone	Deserted Island (G Rank)	1
Stone	Deserted Island (G Rank)	1
Bitterbug	Deserted Island (G Rank)	1
Flashbug	Deserted Island (G Rank)	1
Silver Cricket	Deserted Island (G Rank)	1
Worm	Deserted Island (G Rank)	1
Emperor Hopper	Deserted Island (G Rank)	1
Stinkhopper	Deserted Island (G Rank)	1
Carpenterbug	Deserted Island (G Rank)	1
Gold Cricket	Deserted Island (G Rank)	1
Hercudrome	Deserted Island (G Rank)	1
Mega Fishing Fly	Deserted Island (G Rank)	1
Frog	Deserted Island (G Rank)	1
Honey	Deserted Island (G Rank)	2
Snakebee Larva	Deserted Island (G Rank)	2
Insect Husk	Deserted Island (G Rank)	2
Blue Mushroom	Deserted Island (G Rank)	2
Unique Mushroom	Deserted Island (G Rank)	2
Choice Mushroom	Deserted Island (G Rank)	2
Dragon Toadstool	Deserted Island (G Rank)	2
Exciteshroom	Deserted Island (G Rank)	2
Herb	Deserted Island (G Rank)	2
Airweed	Deserted Island (G Rank)	2
Spider Web	Deserted Island (G Rank)	2
Ivy	Deserted Island (G Rank)	2
Sap Plant	Deserted Island (G Rank)	2
Might Seed	Deserted Island (G Rank)	2
Paintberry	Deserted Island (G Rank)	2
Antidote Herb	Deserted Island (G Rank)	2
Bitterbug	Deserted Island (G Rank)	2
Flashbug	Deserted Island (G Rank)	2
Silver Cricket	Deserted Island (G Rank)	2
Worm	Deserted Island (G Rank)	2
Emperor Hopper	Deserted Island (G Rank)	2
Stinkhopper	Deserted Island (G Rank)	2
Carpenterbug	Deserted Island (G Rank)	2
Gold Cricket	Deserted Island (G Rank)	2
Hercudrome	Deserted Island (G Rank)	2
Mega Fishing Fly	Deserted Island (G Rank)	2
Frog	Deserted Island (G Rank)	2
Honey	Deserted Island (G Rank)	3
Snakebee Larva	Deserted Island (G Rank)	3
Insect Husk	Deserted Island (G Rank)	3
Blue Mushroom	Deserted Island (G Rank)	3
Unique Mushroom	Deserted Island (G Rank)	3
Choice Mushroom	Deserted Island (G Rank)	3
Exciteshroom	Deserted Island (G Rank)	3
Dragon Toadstool	Deserted Island (G Rank)	3
Bitterbug	Deserted Island (G Rank)	3
Flashbug	Deserted Island (G Rank)	3
Silver Cricket	Deserted Island (G Rank)	3
Worm	Deserted Island (G Rank)	3
Emperor Hopper	Deserted Island (G Rank)	3
Earth Crystal	Deserted Island (G Rank)	4
Whetstone	Deserted Island (G Rank)	4
Carbalite Ore	Deserted Island (G Rank)	4
Eltalite Ore	Deserted Island (G Rank)	4
Stone	Deserted Island (G Rank)	4
Dragonite Ore	Deserted Island (G Rank)	4
Bloodrun Jewel	Deserted Island (G Rank)	4
Emperor Hopper	Deserted Island (G Rank)	4
Carpenterbug	Deserted Island (G Rank)	4
Killer Beetle	Deserted Island (G Rank)	4
Mega Fishing Fly	Deserted Island (G Rank)	4
Rare Scarab	Deserted Island (G Rank)	4
Bitterbug	Deserted Island (G Rank)	4
Hercudrome	Deserted Island (G Rank)	4
Flashbug	Deserted Island (G Rank)	4
Insect Husk	Deserted Island (G Rank)	4
Godbug	Deserted Island (G Rank)	4
King Scarab	Deserted Island (G Rank)	4
Thunderbug	Deserted Island (G Rank)	4
Stinkhopper	Deserted Island (G Rank)	4
Gold Cricket	Deserted Island (G Rank)	4
Frog	Deserted Island (G Rank)	4
Mystery Bone	Deserted Island (G Rank)	5
Bone	Deserted Island (G Rank)	5
Unknown Skull	Deserted Island (G Rank)	5
Monster Bone S	Deserted Island (G Rank)	5
Emperor Hopper	Deserted Island (G Rank)	5
Carpenterbug	Deserted Island (G Rank)	5
Killer Beetle	Deserted Island (G Rank)	5
Mega Fishing Fly	Deserted Island (G Rank)	5
Rare Scarab	Deserted Island (G Rank)	5
Bitterbug	Deserted Island (G Rank)	5
Hercudrome	Deserted Island (G Rank)	5
Flashbug	Deserted Island (G Rank)	5
Insect Husk	Deserted Island (G Rank)	5
Godbug	Deserted Island (G Rank)	5
King Scarab	Deserted Island (G Rank)	5
Thunderbug	Deserted Island (G Rank)	5
Stinkhopper	Deserted Island (G Rank)	5
Gold Cricket	Deserted Island (G Rank)	5
Frog	Deserted Island (G Rank)	5
Blue Mushroom	Deserted Island (G Rank)	6
Unique Mushroom	Deserted Island (G Rank)	6
Choice Mushroom	Deserted Island (G Rank)	6
Bone	Deserted Island (G Rank)	6
Mystery Bone	Deserted Island (G Rank)	6
Unknown Skull	Deserted Island (G Rank)	6
Monster Bone S	Deserted Island (G Rank)	6
Eltalite Ore	Deserted Island (G Rank)	6
Carbalite Ore	Deserted Island (G Rank)	6
Bloodrun Jewel	Deserted Island (G Rank)	6
Dragonite Ore	Deserted Island (G Rank)	6
Iron Ore	Deserted Island (G Rank)	6
Adamant Orb	Deserted Island (G Rank)	6
Ivy	Deserted Island (G Rank)	7
Insect Husk	Deserted Island (G Rank)	7
Whetstone	Deserted Island (G Rank)	7
Stone	Deserted Island (G Rank)	7
Blue Mushroom	Deserted Island (G Rank)	7
Unique Mushroom	Deserted Island (G Rank)	7
Choice Mushroom	Deserted Island (G Rank)	7
Bloodrun Jewel	Deserted Island (G Rank)	7
Earth Crystal	Deserted Island (G Rank)	7
Carbalite Ore	Deserted Island (G Rank)	7
Hrd Armor Sphere	Deserted Island (G Rank)	7
Adv Armor Sphere	Deserted Island (G Rank)	7
Eltalite Ore	Deserted Island (G Rank)	7
Dragonite Ore	Deserted Island (G Rank)	7
Wyvern Egg	Deserted Island (G Rank)	8
Monster Bone S	Deserted Island (G Rank)	8
Bone	Deserted Island (G Rank)	8
Mystery Bone	Deserted Island (G Rank)	8
Machalite Ore	Deserted Island (G Rank)	8
Whetstone	Deserted Island (G Rank)	8
Carbalite Ore	Deserted Island (G Rank)	8
Lazurite Jewel	Deserted Island (G Rank)	8
Purecrystal	Deserted Island (G Rank)	8
Earth Crystal	Deserted Island (G Rank)	8
Iron Ore	Deserted Island (G Rank)	8
Bloodrun Jewel	Deserted Island (G Rank)	8
Huskberry	Deserted Island (G Rank)	9
Spider Web	Deserted Island (G Rank)	9
Insect Husk	Deserted Island (G Rank)	9
Ivy	Deserted Island (G Rank)	9
Sap Plant	Deserted Island (G Rank)	9
Might Seed	Deserted Island (G Rank)	9
Paintberry	Deserted Island (G Rank)	9
Antidote Herb	Deserted Island (G Rank)	9
Red Coral Stone	Deserted Island (G Rank)	10
Broken Shell	Deserted Island (G Rank)	10
Jumbo Pearl	Deserted Island (G Rank)	10
Stone	Deserted Island (G Rank)	10
Worm	Deserted Island (G Rank)	10
Frog	Deserted Island (G Rank)	10
Black Pearl	Deserted Island (G Rank)	10
Earth Crystal	Deserted Island (G Rank)	10
Whetstone	Deserted Island (G Rank)	10
Eltalite Ore	Deserted Island (G Rank)	10
Adamant Orb	Deserted Island (G Rank)	10
Machalite Ore	Deserted Island (G Rank)	10
Carbalite Ore	Deserted Island (G Rank)	10
Lazurite Jewel	Deserted Island (G Rank)	10
Purecrystal	Deserted Island (G Rank)	10
Iron Ore	Deserted Island (G Rank)	10
Bloodrun Jewel	Deserted Island (G Rank)	10
Popfish	Deserted Island (G Rank)	10
Pin Tuna	Deserted Island (G Rank)	10
Whetfish	Deserted Island (G Rank)	10
Sushifish	Deserted Island (G Rank)	10
Small Goldenfish	Deserted Island (G Rank)	10
Goldenfish	Deserted Island (G Rank)	10
Speartuna	Deserted Island (G Rank)	10
Silverfish	Deserted Island (G Rank)	10
Red Coral Stone	Deserted Island (G Rank)	11
Broken Shell	Deserted Island (G Rank)	11
Jumbo Pearl	Deserted Island (G Rank)	11
Stone	Deserted Island (G Rank)	11
Black Pearl	Deserted Island (G Rank)	11
Bone	Deserted Island (G Rank)	12
Mystery Bone	Deserted Island (G Rank)	12
Earth Crystal	Deserted Island (G Rank)	12
Bloodrun Jewel	Deserted Island (G Rank)	12
Eltalite Ore	Deserted Island (G Rank)	12
Hvy Armor Sphere	Deserted Island (G Rank)	12
Bomberry	Sandy Plains (Low Rank)	1
Paintberry	Sandy Plains (Low Rank)	1
Fire Herb	Sandy Plains (Low Rank)	1
Ivy	Sandy Plains (Low Rank)	1
Nulberry	Sandy Plains (Low Rank)	1
Bitterbug	Sandy Plains (Low Rank)	1
Godbug	Sandy Plains (Low Rank)	1
Insect Husk	Sandy Plains (Low Rank)	1
Thunderbug	Sandy Plains (Low Rank)	1
Royal Rhino	Sandy Plains (Low Rank)	1
Carpenterbug	Sandy Plains (Low Rank)	1
Bitterbug	Sandy Plains (Low Rank)	2
Bughopper	Sandy Plains (Low Rank)	2
Thunderbug	Sandy Plains (Low Rank)	2
Godbug	Sandy Plains (Low Rank)	2
Carpenterbug	Sandy Plains (Low Rank)	2
Insect Husk	Sandy Plains (Low Rank)	2
Cactus Flower	Sandy Plains (Low Rank)	3
Fire Herb	Sandy Plains (Low Rank)	3
Sleep Herb	Sandy Plains (Low Rank)	3
Felvine	Sandy Plains (Low Rank)	3
Ivy	Sandy Plains (Low Rank)	3
Whetstone	Sandy Plains (Low Rank)	4
Stone	Sandy Plains (Low Rank)	4
Machalite Ore	Sandy Plains (Low Rank)	4
Earth Crystal	Sandy Plains (Low Rank)	4
Crystal Bone	Sandy Plains (Low Rank)	4
Iron Ore	Sandy Plains (Low Rank)	4
Mega Fishing Fly	Sandy Plains (Low Rank)	4
Bitterbug	Sandy Plains (Low Rank)	4
Worm	Sandy Plains (Low Rank)	4
Insect Husk	Sandy Plains (Low Rank)	4
Thunderbug	Sandy Plains (Low Rank)	4
Carpenterbug	Sandy Plains (Low Rank)	4
Royal Rhino	Sandy Plains (Low Rank)	4
Bone	Sandy Plains (Low Rank)	5
Monster Bone S	Sandy Plains (Low Rank)	5
Mystery Bone	Sandy Plains (Low Rank)	5
Golden Bone	Sandy Plains (Low Rank)	5
Unknown Skull	Sandy Plains (Low Rank)	5
Unique Mushroom	Sandy Plains (Low Rank)	6
Nitroshroom	Sandy Plains (Low Rank)	6
Choice Mushroom	Sandy Plains (Low Rank)	6
Parashroom	Sandy Plains (Low Rank)	6
Dragonite Ore	Sandy Plains (Low Rank)	6
Exciteshroom	Sandy Plains (Low Rank)	6
Ice Crystal	Sandy Plains (Low Rank)	6
Iron Ore	Sandy Plains (Low Rank)	6
Whetstone	Sandy Plains (Low Rank)	6
Machalite Ore	Sandy Plains (Low Rank)	6
Auristone Piece	Sandy Plains (Low Rank)	6
Crystal Bone	Sandy Plains (Low Rank)	6
Earth Crystal	Sandy Plains (Low Rank)	6
Stone	Sandy Plains (Low Rank)	6
Nitroshroom	Sandy Plains (Low Rank)	7
Parashroom	Sandy Plains (Low Rank)	7
Unique Mushroom	Sandy Plains (Low Rank)	7
Blue Mushroom	Sandy Plains (Low Rank)	7
Herbivore Egg	Sandy Plains (Low Rank)	7
Bone	Sandy Plains (Low Rank)	7
Cactus Flower	Sandy Plains (Low Rank)	7
Worm	Sandy Plains (Low Rank)	7
Felvine	Sandy Plains (Low Rank)	7
Herb	Sandy Plains (Low Rank)	7
Ivy	Sandy Plains (Low Rank)	7
Sushifish	Sandy Plains (Low Rank)	7
Scatterfish	Sandy Plains (Low Rank)	7
Popfish	Sandy Plains (Low Rank)	7
Whetfish	Sandy Plains (Low Rank)	7
Goldenfish	Sandy Plains (Low Rank)	7
Bomberry	Sandy Plains (Low Rank)	8
Paintberry	Sandy Plains (Low Rank)	8
Fire Herb	Sandy Plains (Low Rank)	8
Ivy	Sandy Plains (Low Rank)	8
Nulberry	Sandy Plains (Low Rank)	8
Cactus Flower	Sandy Plains (Low Rank)	9
Fire Herb	Sandy Plains (Low Rank)	9
Sleep Herb	Sandy Plains (Low Rank)	9
Felvine	Sandy Plains (Low Rank)	9
Ivy	Sandy Plains (Low Rank)	9
Mystery Bone	Sandy Plains (Low Rank)	9
Monster Bone S	Sandy Plains (Low Rank)	9
Golden Bone	Sandy Plains (Low Rank)	9
Unknown Skull	Sandy Plains (Low Rank)	9
Bitterbug	Sandy Plains (Low Rank)	10
Bughopper	Sandy Plains (Low Rank)	10
Thunderbug	Sandy Plains (Low Rank)	10
Godbug	Sandy Plains (Low Rank)	10
Carpenterbug	Sandy Plains (Low Rank)	10
Insect Husk	Sandy Plains (Low Rank)	10
Crystal Bone	Sandy Plains (Low Rank)	11
Iron Ore	Sandy Plains (Low Rank)	11
Earth Crystal	Sandy Plains (Low Rank)	11
Golden Bone	Sandy Plains (Low Rank)	11
Stone	Sandy Plains (Low Rank)	11
Unknown Skull	Sandy Plains (Low Rank)	11
Machalite Ore	Sandy Plains (Low Rank)	11
Whetstone	Sandy Plains (Low Rank)	11
Bomberry	Sandy Plains (High Rank)	1
Paintberry	Sandy Plains (High Rank)	1
Fire Herb	Sandy Plains (High Rank)	1
Ivy	Sandy Plains (High Rank)	1
Nulberry	Sandy Plains (High Rank)	1
Bitterbug	Sandy Plains (High Rank)	1
Godbug	Sandy Plains (High Rank)	1
Insect Husk	Sandy Plains (High Rank)	1
Thunderbug	Sandy Plains (High Rank)	1
Royal Rhino	Sandy Plains (High Rank)	1
Carpenterbug	Sandy Plains (High Rank)	1
Bitterbug	Sandy Plains (High Rank)	2
Bughopper	Sandy Plains (High Rank)	2
Thunderbug	Sandy Plains (High Rank)	2
Godbug	Sandy Plains (High Rank)	2
Carpenterbug	Sandy Plains (High Rank)	2
Insect Husk	Sandy Plains (High Rank)	2
Cactus Flower	Sandy Plains (High Rank)	3
Fire Herb	Sandy Plains (High Rank)	3
Sleep Herb	Sandy Plains (High Rank)	3
Felvine	Sandy Plains (High Rank)	3
Ivy	Sandy Plains (High Rank)	3
Crystal Bone	Sandy Plains (High Rank)	4
Earth Crystal	Sandy Plains (High Rank)	4
Iron Ore	Sandy Plains (High Rank)	4
Armor Sphere	Sandy Plains (High Rank)	4
Carbalite Ore	Sandy Plains (High Rank)	4
Golden Bone	Sandy Plains (High Rank)	4
Whetstone	Sandy Plains (High Rank)	4
Stone	Sandy Plains (High Rank)	4
Machalite Ore	Sandy Plains (High Rank)	4
Worm	Sandy Plains (High Rank)	4
Bughopper	Sandy Plains (High Rank)	4
King Scarab	Sandy Plains (High Rank)	4
Hercudrome	Sandy Plains (High Rank)	4
Bitterbug	Sandy Plains (High Rank)	4
Royal Rhino	Sandy Plains (High Rank)	4
Divine Rhino	Sandy Plains (High Rank)	4
Insect Husk	Sandy Plains (High Rank)	4
Bone	Sandy Plains (High Rank)	5
Monster Bone S	Sandy Plains (High Rank)	5
Mystery Bone	Sandy Plains (High Rank)	5
Golden Bone	Sandy Plains (High Rank)	5
Unknown Skull	Sandy Plains (High Rank)	5
Unique Mushroom	Sandy Plains (High Rank)	6
Nitroshroom	Sandy Plains (High Rank)	6
Choice Mushroom	Sandy Plains (High Rank)	6
Parashroom	Sandy Plains (High Rank)	6
Dragon Toadstool	Sandy Plains (High Rank)	6
Exciteshroom	Sandy Plains (High Rank)	6
Crystal Bone	Sandy Plains (High Rank)	6
Earth Crystal	Sandy Plains (High Rank)	6
Iron Ore	Sandy Plains (High Rank)	6
Armor Sphere	Sandy Plains (High Rank)	6
Carbalite Ore	Sandy Plains (High Rank)	6
Golden Bone	Sandy Plains (High Rank)	6
Ice Crystal	Sandy Plains (High Rank)	6
Machalite Ore	Sandy Plains (High Rank)	6
Armor Sphere+	Sandy Plains (High Rank)	6
Stone	Sandy Plains (High Rank)	6
Auristone Piece	Sandy Plains (High Rank)	6
Unknown Skull	Sandy Plains (High Rank)	6
Mystery Charm	Sandy Plains (High Rank)	6
Lightcrystal	Sandy Plains (High Rank)	6
Auristone Chunk	Sandy Plains (High Rank)	6
Shining Charm	Sandy Plains (High Rank)	6
Dragonite Ore	Sandy Plains (High Rank)	6
Thunderbug	Sandy Plains (High Rank)	6
Divine Rhino	Sandy Plains (High Rank)	6
Carpenterbug	Sandy Plains (High Rank)	6
Hercudrome	Sandy Plains (High Rank)	6
King Scarab	Sandy Plains (High Rank)	6
Royal Rhino	Sandy Plains (High Rank)	6
Mega Fishing Fly	Sandy Plains (High Rank)	6
Nitroshroom	Sandy Plains (High Rank)	7
Parashroom	Sandy Plains (High Rank)	7
Unique Mushroom	Sandy Plains (High Rank)	7
Blue Mushroom	Sandy Plains (High Rank)	7
Herbivore Egg	Sandy Plains (High Rank)	7
Bone	Sandy Plains (High Rank)	7
Cactus Flower	Sandy Plains (High Rank)	7
Worm	Sandy Plains (High Rank)	7
Felvine	Sandy Plains (High Rank)	7
Herb	Sandy Plains (High Rank)	7
Ivy	Sandy Plains (High Rank)	7
Sushifish	Sandy Plains (High Rank)	7
Scatterfish	Sandy Plains (High Rank)	7
Popfish	Sandy Plains (High Rank)	7
Goldenfish	Sandy Plains (High Rank)	7
Whetfish	Sandy Plains (High Rank)	7
Silverfish	Sandy Plains (High Rank)	7
Bomberry	Sandy Plains (High Rank)	8
Paintberry	Sandy Plains (High Rank)	8
Fire Herb	Sandy Plains (High Rank)	8
Ivy	Sandy Plains (High Rank)	8
Nulberry	Sandy Plains (High Rank)	8
Cactus Flower	Sandy Plains (High Rank)	9
Fire Herb	Sandy Plains (High Rank)	9
Sleep Herb	Sandy Plains (High Rank)	9
Felvine	Sandy Plains (High Rank)	9
Ivy	Sandy Plains (High Rank)	9
Mystery Bone	Sandy Plains (High Rank)	9
Monster Bone S	Sandy Plains (High Rank)	9
Golden Bone	Sandy Plains (High Rank)	9
Unknown Skull	Sandy Plains (High Rank)	9
Bitterbug	Sandy Plains (High Rank)	10
Bughopper	Sandy Plains (High Rank)	10
Thunderbug	Sandy Plains (High Rank)	10
Carpenterbug	Sandy Plains (High Rank)	10
Insect Husk	Sandy Plains (High Rank)	10
Ice Crystal	Sandy Plains (High Rank)	11
Carbalite Ore	Sandy Plains (High Rank)	11
Machalite Ore	Sandy Plains (High Rank)	11
Iron Ore	Sandy Plains (High Rank)	11
Armor Sphere+	Sandy Plains (High Rank)	11
Stone	Sandy Plains (High Rank)	11
Auristone Chunk	Sandy Plains (High Rank)	11
Earth Crystal	Sandy Plains (High Rank)	11
Unknown Skull	Sandy Plains (High Rank)	11
Golden Bone	Sandy Plains (High Rank)	11
Auristone Piece	Sandy Plains (High Rank)	11
Whetstone	Sandy Plains (High Rank)	11
Crystal Bone	Sandy Plains (High Rank)	11
Mystery Charm	Sandy Plains (High Rank)	11
Lightcrystal	Sandy Plains (High Rank)	11
Bomberry	Sandy Plains (G Rank)	1
Paintberry	Sandy Plains (G Rank)	1
Fire Herb	Sandy Plains (G Rank)	1
Ivy	Sandy Plains (G Rank)	1
Nulberry	Sandy Plains (G Rank)	1
Worm	Sandy Plains (G Rank)	1
Insect Husk	Sandy Plains (G Rank)	1
King Scarab	Sandy Plains (G Rank)	1
Hercudrome	Sandy Plains (G Rank)	1
Bitterbug	Sandy Plains (G Rank)	1
Godbug	Sandy Plains (G Rank)	1
Royal Rhino	Sandy Plains (G Rank)	1
Mega Fishing Fly	Sandy Plains (G Rank)	1
Emperor Hopper	Sandy Plains (G Rank)	1
Thunderbug	Sandy Plains (G Rank)	1
Bitterbug	Sandy Plains (G Rank)	2
Bughopper	Sandy Plains (G Rank)	2
Thunderbug	Sandy Plains (G Rank)	2
Godbug	Sandy Plains (G Rank)	2
Carpenterbug	Sandy Plains (G Rank)	2
Insect Husk	Sandy Plains (G Rank)	2
Cactus Flower	Sandy Plains (G Rank)	3
Fire Herb	Sandy Plains (G Rank)	3
Sleep Herb	Sandy Plains (G Rank)	3
Felvine	Sandy Plains (G Rank)	3
Ivy	Sandy Plains (G Rank)	3
Crystal Bone	Sandy Plains (G Rank)	4
Dragonite Ore	Sandy Plains (G Rank)	4
Earth Crystal	Sandy Plains (G Rank)	4
Carbalite Ore	Sandy Plains (G Rank)	4
Timeworn Charm	Sandy Plains (G Rank)	4
Golden Bone	Sandy Plains (G Rank)	4
Whetstone	Sandy Plains (G Rank)	4
Iron Ore	Sandy Plains (G Rank)	4
Store	Sandy Plains (G Rank)	4
Machalite Ore	Sandy Plains (G Rank)	4
Thunderbug	Sandy Plains (G Rank)	4
King Scarab	Sandy Plains (G Rank)	4
Emperor Hopper	Sandy Plains (G Rank)	4
Hercudrome	Sandy Plains (G Rank)	4
Rare Scarab	Sandy Plains (G Rank)	4
Royal Rhino	Sandy Plains (G Rank)	4
Divine Rhino	Sandy Plains (G Rank)	4
Worm	Sandy Plains (G Rank)	4
Bone	Sandy Plains (G Rank)	5
Monster Bone S	Sandy Plains (G Rank)	5
Mystery Bone	Sandy Plains (G Rank)	5
Golden Bone	Sandy Plains (G Rank)	5
Unknown Skull	Sandy Plains (G Rank)	5
Unique Mushroom	Sandy Plains (G Rank)	6
Nitroshroom	Sandy Plains (G Rank)	6
Choice Mushroom	Sandy Plains (G Rank)	6
Parashroom	Sandy Plains (G Rank)	6
Dragon Toadstool	Sandy Plains (G Rank)	6
Exciteshroom	Sandy Plains (G Rank)	6
Crystal Bone	Sandy Plains (G Rank)	6
Dragonite Ore	Sandy Plains (G Rank)	6
Earth Crystal	Sandy Plains (G Rank)	6
Carbalite Ore	Sandy Plains (G Rank)	6
Timeworn Charm	Sandy Plains (G Rank)	6
Golden Bone	Sandy Plains (G Rank)	6
Ice Crystal	Sandy Plains (G Rank)	6
Eltalite Ore	Sandy Plains (G Rank)	6
Fucium Ore	Sandy Plains (G Rank)	6
Meldspar Ore	Sandy Plains (G Rank)	6
Hvy Armor Sphere	Sandy Plains (G Rank)	6
Adamant Orb	Sandy Plains (G Rank)	6
Hrd Armor Sphere	Sandy Plains (G Rank)	6
Unknown Skull	Sandy Plains (G Rank)	6
Adv Armor Sphere	Sandy Plains (G Rank)	6
Auristone Chunk	Sandy Plains (G Rank)	6
Whetstone	Sandy Plains (G Rank)	6
Iron Ore	Sandy Plains (G Rank)	6
Stone	Sandy Plains (G Rank)	6
Machalite Ore	Sandy Plains (G Rank)	6
Slickaxe	Sandy Plains (G Rank)	6
Enduring Charm	Sandy Plains (G Rank)	6
Shining Charm	Sandy Plains (G Rank)	6
Purecrystal	Sandy Plains (G Rank)	6
Divine Rhino	Sandy Plains (G Rank)	6
Thunderbug	Sandy Plains (G Rank)	6
King Scarab	Sandy Plains (G Rank)	6
Emperor Hopper	Sandy Plains (G Rank)	6
Hercudrome	Sandy Plains (G Rank)	6
Flutterfly	Sandy Plains (G Rank)	6
Nitroshroom	Sandy Plains (G Rank)	7
Parashroom	Sandy Plains (G Rank)	7
Unique Mushroom	Sandy Plains (G Rank)	7
Blue Mushroom	Sandy Plains (G Rank)	7
Herbivore Egg	Sandy Plains (G Rank)	7
Bone	Sandy Plains (G Rank)	7
Cactus Flower	Sandy Plains (G Rank)	7
Worm	Sandy Plains (G Rank)	7
Felvine	Sandy Plains (G Rank)	7
Herb	Sandy Plains (G Rank)	7
Sushifish	Sandy Plains (G Rank)	7
Scatterfish	Sandy Plains (G Rank)	7
Popfish	Sandy Plains (G Rank)	7
Goldenfish	Sandy Plains (G Rank)	7
Whetfish	Sandy Plains (G Rank)	7
Silverfish	Sandy Plains (G Rank)	7
Bomberry	Sandy Plains (G Rank)	8
Paintberry	Sandy Plains (G Rank)	8
Fire Herb	Sandy Plains (G Rank)	8
Ivy	Sandy Plains (G Rank)	8
Nulberry	Sandy Plains (G Rank)	8
Cactus Flower	Sandy Plains (G Rank)	9
Fire Herb	Sandy Plains (G Rank)	9
Sleep Herb	Sandy Plains (G Rank)	9
Felvine	Sandy Plains (G Rank)	9
Ivy	Sandy Plains (G Rank)	9
Mystery Bone	Sandy Plains (G Rank)	9
Monster Bone S	Sandy Plains (G Rank)	9
Golden Bone	Sandy Plains (G Rank)	9
Unknown Skull	Sandy Plains (G Rank)	9
Bitterbug	Sandy Plains (G Rank)	10
Bughopper	Sandy Plains (G Rank)	10
Thunderbug	Sandy Plains (G Rank)	10
Godbug	Sandy Plains (G Rank)	10
Carpenterbug	Sandy Plains (G Rank)	10
Insect Husk	Sandy Plains (G Rank)	10
Ice Crystal	Sandy Plains (G Rank)	11
Dragonite Ore	Sandy Plains (G Rank)	11
Carbalite Ore	Sandy Plains (G Rank)	11
Eltalite Ore	Sandy Plains (G Rank)	11
Fucium Ore	Sandy Plains (G Rank)	11
Meldspar Ore	Sandy Plains (G Rank)	11
Hvy Armor Sphere	Sandy Plains (G Rank)	11
Adamant Orb	Sandy Plains (G Rank)	11
Hrd Armor Sphere	Sandy Plains (G Rank)	11
Earth Crystal	Sandy Plains (G Rank)	11
Unknown Skull	Sandy Plains (G Rank)	11
Golden Bone	Sandy Plains (G Rank)	11
Adv Armor Sphere	Sandy Plains (G Rank)	11
Crystal Bone	Sandy Plains (G Rank)	11
Whetstone	Sandy Plains (G Rank)	11
Auristone Chunk	Sandy Plains (G Rank)	11
Popfish	Flooded Forest (Low Rank)	0
Burst Arowana	Flooded Forest (Low Rank)	0
Whetfish	Flooded Forest (Low Rank)	0
Sushifish	Flooded Forest (Low Rank)	0
Small Goldenfish	Flooded Forest (Low Rank)	0
Bomb Arowana	Flooded Forest (Low Rank)	0
Antidote Herb	Flooded Forest (Low Rank)	1
Sap Plant	Flooded Forest (Low Rank)	1
Sleep Herb	Flooded Forest (Low Rank)	1
Herb	Flooded Forest (Low Rank)	1
Spider Web	Flooded Forest (Low Rank)	1
Needleberry	Flooded Forest (Low Rank)	1
Huskberry	Flooded Forest (Low Rank)	1
Adamant Seed	Flooded Forest (Low Rank)	1
Unique Mushroom	Flooded Forest (Low Rank)	1
Blue Mushroom	Flooded Forest (Low Rank)	1
Parashroom	Flooded Forest (Low Rank)	1
Choice Mushroom	Flooded Forest (Low Rank)	1
Pelagicite Ore	Flooded Forest (Low Rank)	1
Earth Crystal	Flooded Forest (Low Rank)	1
Aquaglow Jewel	Flooded Forest (Low Rank)	1
Mystery Charm	Flooded Forest (Low Rank)	1
Worm	Flooded Forest (Low Rank)	2
Frog	Flooded Forest (Low Rank)	2
Stone	Flooded Forest (Low Rank)	2
Parashroom	Flooded Forest (Low Rank)	2
Unique Mushroom	Flooded Forest (Low Rank)	2
Exciteshroom	Flooded Forest (Low Rank)	2
Scatternut	Flooded Forest (Low Rank)	2
Might Seed	Flooded Forest (Low Rank)	2
Bomberry	Flooded Forest (Low Rank)	2
Nulberry	Flooded Forest (Low Rank)	2
Adamant Seed	Flooded Forest (Low Rank)	2
Huskberry	Flooded Forest (Low Rank)	2
